,City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
138,2181625,Te Anau,90,NZ,1579997865,80,-45.42,167.72,17.04,1.94
690,2189343,Kaeo,56,NZ,1579997924,52,-35.1,173.78,27.78,0.89
1079,2191562,Dunedin,49,NZ,1579998175,69,-45.87,170.5,19.44,8.5
1133,2192362,Christchurch,52,NZ,1579997877,60,-43.53,172.63,27.22,1.5
1008,2194098,Ahipara,59,NZ,1579998155,80,-35.17,173.17,20.49,4.7
449,2206357,Opunake,57,NZ,1579998196,74,-39.46,173.86,23.33,2.24
175,2206874,Waipawa,18,NZ,1579997906,64,-41.41,175.52,24.0,9.3
82,2206939,Bluff,46,NZ,1579997776,51,-46.6,168.33,21.14,2.6
566,2208248,Kaitangata,66,NZ,1579998130,69,-46.28,169.85,19.44,4.72
966,2214432,Nalut,100,LY,1579998189,15,30.33,10.85,16.23,3.34
1423,2219235,Ubari,74,LY,1579998932,19,26.59,12.78,14.69,4.1
80,2236053,Abong Mbang,45,CM,1579998141,26,3.98,13.18,16.32,1.22
1600,2236967,Soyo,100,AO,1579999139,88,-6.13,12.37,26.53,4.21
1357,2240449,Luanda,40,AO,1579998785,78,-8.84,13.23,27.0,1.5
102,2253354,Dakar,46,SN,1579997534,64,14.69,-17.44,23.0,8.7
75,2264557,Ponta do Sol,20,PT,1579998141,67,32.67,-17.1,16.0,2.6
1632,2274275,Robertsport,0,LR,1579999175,83,6.75,-11.37,27.29,3.52
1099,2276492,Harper,62,LR,1579998211,96,4.38,-7.72,25.13,0.62
94,2277060,Gbarnga,0,LR,1579998143,89,7.0,-9.47,20.26,0.87
305,2291136,Bondoukou,1,CI,1579998172,11,8.03,-2.8,22.09,1.16
1617,2328925,Igede,0,NG,1579999158,13,10.05,5.94,20.59,2.27
1223,2331447,Maiduguri,4,NG,1579998143,44,11.85,13.16,16.49,4.47
1005,2377450,Nouakchott,87,MR,1579997984,44,18.09,-15.98,25.0,5.1
468,2377457,Nouadhibou,100,MR,1579998016,68,20.93,-17.03,18.0,8.7
1449,2381334,Atar,87,MR,1579998961,23,20.52,-13.05,22.62,4.43
1202,2392087,Porto-Novo,45,BJ,1579998141,57,6.5,2.6,24.62,0.6
1065,2396853,Omboue,14,GA,1579998205,93,-1.57,9.26,24.59,1.1
535,2399371,Makokou,80,GA,1579998210,67,0.57,12.86,21.77,0.98
1677,2404036,Seidu,0,SL,1579999227,17,9.02,-10.6,20.69,0.59
1355,2428231,Massaguet,0,TD,1579998853,18,12.48,15.44,17.0,4.1
479,2431736,Goundi,0,TD,1579998202,14,9.36,17.37,17.64,1.87
261,2434584,Bousso,2,TD,1579998165,14,10.48,16.71,17.54,3.48
1430,2447513,Arlit,16,NE,1579998940,10,18.74,7.39,19.44,3.84
951,2450173,Taoudenni,44,ML,1579998187,18,22.68,-3.98,22.12,3.21
375,2455290,Kidal,97,ML,1579998185,9,18.44,1.41,22.95,4.45
1534,2457161,Gao,54,ML,1579999062,9,16.64,1.64,22.2,4.81
531,2460954,Araouane,100,ML,1579998210,9,18.9,-3.53,24.42,2.25
475,2514651,Los Llanos de Aridane,75,ES,1579998148,59,28.66,-17.92,17.0,2.6
183,2521582,Arona,40,ES,1579998154,55,28.1,-16.68,17.0,3.1
805,2542997,Marrakesh,20,MA,1579998162,87,31.63,-8.01,9.0,1.0
679,2598243,Soubre,10,CI,1579998146,96,5.79,-6.61,22.77,0.94
